Date,Track,Race Name,Race,MarketID,SelectionID,Number,Horse,Rank,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP
1/01/2024,Longford,R5 800m Hcap,5,223040551,36834040,3,Thunberg,1,0,4.8,1,1.79
1/01/2024,Longford,R5 800m Hcap,5,223040551,591047,1,Elite Legacy,2,0,8.91,0,2.98
1/01/2024,Longford,R5 800m Hcap,5,223040551,49513219,2,Warica,3,0,7.8,1,2.51
1/01/2024,Longford,R5 800m Hcap,5,223040551,38108935,5,Fairy Magic,4,0,3.61,0,1.62
1/01/2024,Longford,R5 800m Hcap,5,223040551,48458200,4,Vetlanda,5,0,27.48,0,6.4
1/01/2024,Longford,R6 1800m Cup,6,223040557,22821613,1,Sir Simon,1,1,2.32,1,1.4
1/01/2024,Longford,R6 1800m Cup,6,223040557,24997578,4,Shbourne Rebel,2,0,7.2,0,2.16
1/01/2024,Longford,R6 1800m Cup,6,223040557,21806392,6,Ethical Dilemma,3,0,11,0,2.65
1/01/2024,Longford,R6 1800m Cup,6,223040557,42201951,8,Page,4,0,9,1,2.3
1/01/2024,Longford,R6 1800m Cup,6,223040557,56904732,9,Vintage Diesel,5,0,10,1,2.78
1/01/2024,Longford,R7 1400m Hcap,7,223040563,46836963,1,Geegeeluckystar,1,0,2.76,0,1.63
1/01/2024,Longford,R7 1400m Hcap,7,223040563,41664011,3,Alpine Affair,2,1,5.1,1,2.58
1/01/2024,Longford,R7 1400m Hcap,7,223040563,37173124,2,Freak On A Lead,3,0,11.3,0,4.2
1/01/2024,Longford,R7 1400m Hcap,7,223040563,41420338,7,Rodricks Secret,4,0,4.5,1,2.2
1/01/2024,Longford,R7 1400m Hcap,7,223040563,41420338,7,Rodricks Secret,5,0,4.5,1,2.2
1/01/2024,Mornington,R1 1500m Mdn,1,223031098,63859373,10,Lady Of Savoy,1,0,1.68,1,1.11
1/01/2024,Mornington,R1 1500m Mdn,1,223031098,38869055,3,Tosen Warrior,2,0,10.77,1,2.12
1/01/2024,Mornington,R1 1500m Mdn,1,223031098,63363685,4,Our Couver,3,1,9.86,1,2.45
1/01/2024,Mornington,R1 1500m Mdn,1,223031098,64342999,11,Moon Lightning,4,0,11.66,0,3
1/01/2024,Mornington,R1 1500m Mdn,1,223031098,64342997,8,Downtown Lights,5,0,50,0,7.4
1/01/2024,Mornington,R2 1000m Mdn,2,223031105,674134,3,Gator,1,0,12.27,0,3.2
1/01/2024,Mornington,R2 1000m Mdn,2,223031105,63363681,12,Starlacca,2,1,8.8,1,2.43
