Tipster_Name,MeetingDate,TrackName,Content,International_Meeting,Racing_Code,Race,Selection,BettingStrategy,MarketType,RP,SelectionName,Stake,BestBet,Market_ID,Selection_ID,MBR,RESULT,BSP,PROFIT_BSP,PROFIT_BSP_RP,PROFIT_BESTBET
Brett & Darren Carroll,18/05/2024,Melton,EXPERT TIPS,FALSE,Harness,7,7,BACK,WIN,2.2,7. Le Belle Bijoux,2,BEST BET,228989297,28535652,7,0,6.61,-2,-2,-2
Lachlan Mosley,18/05/2024,Morphettville,EXPERT TIPS,FALSE,Thoroughbred,2,1,BACK,WIN,0,1. Alpine Flyer,2,BEST BET,228959544,69389923,7,0,1.98,-2,-2,-2
Lachlan Mosley,18/05/2024,Morphettville,EXPERT TIPS,FALSE,Thoroughbred,3,2,BACK,WIN,0,2. My Khalifa ,1,,228959551,50712910,7,0,5.9,-1,-1,0
Lachlan Mosley,18/05/2024,Morphettville,EXPERT TIPS,FALSE,Thoroughbred,3,4,BACK,WIN,0,4. Easy Campese,1,,228959551,27541735,7,1,2.29,1.2,1.2,0
Lachlan Mosley,18/05/2024,Morphettville,EXPERT TIPS,FALSE,Thoroughbred,5,7,BACK,WIN,0,7. Ammo Amor,1,,228959565,43309037,7,0,6.6,-1,-1,0
Lachlan Mosley,18/05/2024,Morphettville,EXPERT TIPS,FALSE,Thoroughbred,5,7,BACK,PLACE,0,7. Ammo Amor,1,,228959566,43309037,7,0,2.76,-1,-1,0
Lachlan Mosley,18/05/2024,Morphettville,EXPERT TIPS,FALSE,Thoroughbred,6,2,BACK,WIN,0,2. Big Option,1,,228959572,41818585,7,0,22.43,-1,-1,0
Lachlan Mosley,18/05/2024,Morphettville,EXPERT TIPS,FALSE,Thoroughbred,6,2,BACK,PLACE,0,2. Big Option,1,,228959573,41818585,7,0,7,-1,-1,0
Lachlan Mosley,18/05/2024,Morphettville,EXPERT TIPS,FALSE,Thoroughbred,8,13,BACK,WIN,0,13. Favourite Child,1,,228959586,66331447,7,0,11.5,-1,-1,0
Lachlan Mosley,18/05/2024,Morphettville,EXPERT TIPS,FALSE,Thoroughbred,8,13,BACK,PLACE,0,13. Favourite Child,1,,228959587,66331447,7,0,3.85,-1,-1,0
Lachlan Mosley,18/05/2024,Morphettville,EXPERT TIPS,FALSE,Thoroughbred,9,1,BACK,WIN,0,1. Maracourt,2,,228959593,69389938,7,0,2.7,-2,-2,0
Scott Hill,18/05/2024,Narrogin,EXPERT TIPS,FALSE,Harness,1,5,BACK,WIN,3.3,5. Rocknroll Train,1,,228989798,62886324,7,0,4,-1,-1,0
