Date,Track,Race Name,Race,Market,Selection,Number,Horse,RP,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,Value
2024-01-01,Burrumbeet,R7 1000m Hcap,7,223034985,24503196,5,Magestic Diva,5.54,0.0,8.45,0.0,2.56,0.06216221989618269
2024-01-01,Burrumbeet,R7 1000m Hcap,7,223034985,27463704,8,Minifinn,11.38,0.0,18.0,0.0,4.55,0.032317906658855686
2024-01-01,Burrumbeet,R7 1000m Hcap,7,223034985,28101682,6,Dupie Doll,20.53,0.0,10.5,1.0,3.35,-0.046528889198153685
2024-01-01,Burrumbeet,R7 1000m Hcap,7,223034985,41930204,1,Black Banjo,12.65,1.0,16.12,1.0,3.8,0.0170166439451152
2024-01-01,Burrumbeet,R7 1000m Hcap,7,223034985,51982346,10,Go Gurda,55.77,0.0,27.59,0.0,7.0,-0.01831422914870095
2024-01-01,Burrumbeet,R7 1000m Hcap,7,223034985,62393952,11,Onepointsevengone,5.84,0.0,4.07,0.0,1.72,-0.07446736898791692
2024-01-01,Canterbury,R1 1900m Mdn,1,222975977,2460644,7,Royal Promise,70.1,0.0,126.03,0.0,18.7,0.006330716493808564
2024-01-01,Canterbury,R1 1900m Mdn,1,222975977,51957788,5,Dark Lever,190.01,0.0,240.0,0.0,34.0,0.001096214234338544
2024-01-01,Canterbury,R1 1900m Mdn,1,222975977,55132183,12,Royale Veloute,11.79,0.0,9.72,1.0,2.33,-0.018063016366663506
2024-01-01,Canterbury,R1 1900m Mdn,1,222975977,56090114,1,Counter,3.5,0.0,3.69,1.0,1.52,0.014711575687185396
2024-01-01,Canterbury,R1 1900m Mdn,1,222975977,57078143,2,Suit Of Armour,2.79,1.0,2.83,1.0,1.32,0.005066048608736384
2024-01-01,Canterbury,R1 1900m Mdn,1,222975977,58600690,10,Glory Start,33.43,0.0,38.77,0.0,6.22,0.0041201125454263625
2024-01-01,Canterbury,R1 1900m Mdn,1,222975977,64342656,3,Two Questions,6.77,0.0,7.43,0.0,2.2,0.013120985425766035
2024-01-01,Canterbury,R1 1900m Mdn,1,222975977,7431039,9,Sir Maurice,32.12,0.0,27.1,0.0,6.6,-0.005767118692357531
2024-01-01,Canterbury,R1 1900m Mdn,1,222975977,9612139,4,Bonaventure,23.33,0.0,17.5,0.0,4.03,-0.014279590961974155
2024-01-01,Canterbury,R2 1200m 3yo,2,222975985,57563499,7,I Am Famous,7.01,0.0,17.5,0.0,2.72,0.08551049521092319
2024-01-01,Canterbury,R2 1200m 3yo,2,222975985,63122341,9,Kickamushu,45.5,0.0,48.63,1.0,4.72,0.001414583771153794
2024-01-01,Canterbury,R2 1200m 3yo,2,222975985,64342659,2,Cintia,31.08,0.0,79.29,0.0,10.0,0.019563101288413435
2024-01-01,Canterbury,R2 1200m 3yo,2,222975985,64342661,4,Equipage,5.62,0.0,7.61,0.0,1.57,0.046529898382443036
2024-01-01,Canterbury,R2 1200m 3yo,2,222975985,64342663,6,Hellbent On You,7.45,0.0,10.0,0.0,1.95,0.03422818791946308
2024-01-01,Canterbury,R2 1200m 3yo,2,222975985,64342664,10,Kitty Chat,2.28,1.0,1.59,1.0,1.17,-0.19033432638199266
2024-01-01,Canterbury,R2 1200m 3yo,2,222975985,64342665,11,La Belle Claire,218.45,0.0,511.71,0.0,42.0,0.0026234746798529593
2024-01-01,Canterbury,R2 1200m 3yo,2,222975985,64342666,12,Llanddwyn,20.85,0.0,19.58,1.0,2.99,-0.003110892287191698
