EVENT_DATE,EVENT_ID,MATCH,MARKET_TYPE,MARKET_NAME,MARKET_ID
6/08/2022,31531633,Newcastle v Nottm Forest,,First Half Goals 2.5,200234998
6/08/2022,31531633,Newcastle v Nottm Forest,,First Half Goals 0.5,200235005
6/08/2022,31531633,Newcastle v Nottm Forest,,Newcastle +3,200234991
6/08/2022,31531633,Newcastle v Nottm Forest,,Half Time,200235009
6/08/2022,31531633,Newcastle v Nottm Forest,,Half Time Score,200234939
6/08/2022,31531633,Newcastle v Nottm Forest,,Newcastle Over/Under 2.5 Goals,200235049
6/08/2022,31531633,Newcastle v Nottm Forest,,Nottm Forest +2,200234992
6/08/2022,31531633,Newcastle v Nottm Forest,,Over/Under 3.5 Goals,200234952
6/08/2022,31531633,Newcastle v Nottm Forest,,Draw No Bet,200234987
6/08/2022,31531633,Newcastle v Nottm Forest,,Nottm Forest +1,200234989
6/08/2022,31531633,Newcastle v Nottm Forest,,Newcastle +2,200234988
6/08/2022,31531633,Newcastle v Nottm Forest,,Match Odds and Over/Under 2.5 goals,200235013
6/08/2022,31531633,Newcastle v Nottm Forest,,Match Odds and Over/Under 3.5 Goals,200235050
6/08/2022,31531633,Newcastle v Nottm Forest,,Double Chance,200235003
6/08/2022,31531633,Newcastle v Nottm Forest,,Half Time Score,200234933
6/08/2022,31531633,Newcastle v Nottm Forest,,Both teams to Score?,200234999
6/08/2022,31531633,Newcastle v Nottm Forest,,First Half Goals 1.5,200235007
6/08/2022,31531633,Newcastle v Nottm Forest,,Newcastle +1,200235004
6/08/2022,31531633,Newcastle v Nottm Forest,,Nottm Forest Over/Under 0.5 Goals,200235055
6/08/2022,31531633,Newcastle v Nottm Forest,,Over/Under 0.5 Goals,200235006
6/08/2022,31531633,Newcastle v Nottm Forest,,Over/Under 5.5 Goals,200235010
6/08/2022,31531633,Newcastle v Nottm Forest,,Newcastle Over/Under 0.5 Goals,200235054
6/08/2022,31531633,Newcastle v Nottm Forest,,Nottm Forest Over/Under 2.5 Goals,200235053
6/08/2022,31531633,Newcastle v Nottm Forest,,Over/Under 2.5 Goals,200234937
