Player,Player,Nation,Age,Minutes,ShotsOnTargetAgainst,GoalsAgainst,Saves,Save%,HomeTeam,Away_Team,Date,PlayerTeam
Michael Theo,Michael Theo,AUS,36-007,90,7,2,5,71.4,Perth Glory,Brisbane Roar,18/02/2017,Brisbane Roar
Liam Reddy,Liam Reddy,AUS,35-194,90,4,2,2,50,Perth Glory,Brisbane Roar,18/02/2017,Perth Glory
Thomas Sørensen,Thomas Sorensen,DEN,40-251,90,3,1,2,66.7,Wellington Phoenix,Melbourne City,18/02/2017,Melbourne City
Glen Moss,Glen Moss,NZL,34-030,90,6,5,1,16.7,Wellington Phoenix,Melbourne City,18/02/2017,Wellington Phoenix
Danny Vukovic,Danny Vukovic,AUS,31-328,90,4,1,3,75,Western Sydney Wanderers,Sydney FC,18/02/2017,Sydney FC
Vedran Janjetović,Vedran Janjetovic,AUS,29-182,90,5,0,5,100,Western Sydney Wanderers,Sydney FC,18/02/2017,Western Sydney Wanderers
Lawrence Thomas,Lawrence Thomas,AUS,24-286,90,2,0,2,100,Central Coast Mariners,Melbourne Victory,19/02/2017,Melbourne Victory
Paul Izzo,Paul Izzo,AUS,22-044,90,7,3,4,57.1,Central Coast Mariners,Melbourne Victory,19/02/2017,Central Coast Mariners
Danny Vukovic,Danny Vukovic,AUS,31-334,90,4,1,3,75,Melbourne City,Sydney FC,24/02/2017,Sydney FC
Thomas Sørensen,Thomas Sorensen,DEN,40-257,90,7,3,5,71.4,Melbourne City,Sydney FC,24/02/2017,Melbourne City
Glen Moss,Glen Moss,NZL,34-037,90,5,1,4,80,Brisbane Roar,Wellington Phoenix,25/02/2017,Wellington Phoenix
Michael Theo,Michael Theo,AUS,36-014,90,3,2,1,33.3,Brisbane Roar,Wellington Phoenix,25/02/2017,Brisbane Roar
Daniel Margush,Daniel Margush,AUS,19-089,90,4,2,2,50,Melbourne Victory,Adelaide United,25/02/2017,Adelaide United
Lawrence Thomas,Lawrence Thomas,AUS,24-292,90,3,1,2,66.7,Melbourne Victory,Adelaide United,25/02/2017,Melbourne Victory
Vedran Janjetović,Vedran Janjetovic,AUS,29-189,90,5,2,3,60,Perth Glory,Western Sydney Wanderers,25/02/2017,Western Sydney Wanderers
Liam Reddy,Liam Reddy,AUS,35-201,90,1,0,1,100,Perth Glory,Western Sydney Wanderers,25/02/2017,Perth Glory
Paul Izzo,Paul Izzo,AUS,22-051,90,4,1,3,75,Newcastle Jets,Central Coast Mariners,26/02/2017,Central Coast Mariners
Tomislav Arčaba,Tomislav Arcaba,AUS,30-338,90,4,1,3,75,Newcastle Jets,Central Coast Mariners,26/02/2017,Newcastle Jets
Lawrence Thomas,Lawrence Thomas,AUS,24-298,90,7,1,6,85.7,Sydney FC,Melbourne Victory,3/03/2017,Melbourne Victory
Danny Vukovic,Danny Vukovic,AUS,31-341,90,3,0,3,100,Sydney FC,Melbourne Victory,3/03/2017,Sydney FC
Liam Reddy,Liam Reddy,AUS,35-208,90,4,3,1,25,Wellington Phoenix,Perth Glory,4/03/2017,Perth Glory
Glen Moss,Glen Moss,NZL,34-044,90,7,3,4,57.1,Wellington Phoenix,Perth Glory,4/03/2017,Wellington Phoenix
Daniel Margush,Daniel Margush,AUS,19-096,90,6,0,6,100,Western Sydney Wanderers,Adelaide United,4/03/2017,Adelaide United
Vedran Janjetović,Vedran Janjetovic,AUS,29-196,90,1,0,1,100,Western Sydney Wanderers,Adelaide United,4/03/2017,Western Sydney Wanderers
Thomas Sørensen,Thomas Sorensen,DEN,40-266,90,4,2,2,50,Central Coast Mariners,Melbourne City,5/03/2017,Melbourne City
Paul Izzo,Paul Izzo,AUS,22-058,61,7,2,5,71.4,Central Coast Mariners,Melbourne City,5/03/2017,Central Coast Mariners
Ivan Necevski,Ivan Necevski,AUS,37-008,27,0,1,0,,Central Coast Mariners,Melbourne City,5/03/2017,Central Coast Mariners
Michael Theo,Michael Theo,AUS,36-022,90,0,1,0,,Newcastle Jets,Brisbane Roar,5/03/2017,Brisbane Roar
Tomislav Arčaba,Tomislav Arcaba,AUS,30-345,90,7,3,5,71.4,Newcastle Jets,Brisbane Roar,5/03/2017,Newcastle Jets
Ivan Necevski,Ivan Necevski,AUS,37-013,90,4,1,4,75,Sydney FC,Central Coast Mariners,10/03/2017,Central Coast Mariners
Danny Vukovic,Danny Vukovic,AUS,31-348,90,1,0,1,100,Sydney FC,Central Coast Mariners,10/03/2017,Sydney FC
Liam Reddy,Liam Reddy,AUS,35-215,90,6,4,2,33.3,Melbourne Victory,Perth Glory,11/03/2017,Perth Glory
Lawrence Thomas,Lawrence Thomas,AUS,24-306,90,7,1,6,85.7,Melbourne Victory,Perth Glory,11/03/2017,Melbourne Victory
Jack Duncan,Jack Duncan,AUS,23-333,90,8,4,5,62.5,Melbourne City,Newcastle Jets,18/03/2017,Newcastle Jets
Thomas Sørensen,Thomas Sorensen,DEN,40-279,90,1,0,1,100,Melbourne City,Newcastle Jets,18/03/2017,Melbourne City
Michael Theo,Michael Theo,AUS,36-036,89,1,2,0,0,Adelaide United,Brisbane Roar,19/03/2017,Brisbane Roar
Eugene Galekovic,Eugene Galekovic,AUS,35-280,90,4,1,3,75,Adelaide United,Brisbane Roar,19/03/2017,Adelaide United
Glen Moss,Glen Moss,NZL,34-059,90,9,3,6,66.7,Western Sydney Wanderers,Wellington Phoenix,19/03/2017,Wellington Phoenix
Vedran Janjetović,Vedran Janjetovic,AUS,29-211,90,3,1,2,66.7,Western Sydney Wanderers,Wellington Phoenix,19/03/2017,Western Sydney Wanderers
Thomas Sørensen,Thomas Sorensen,DEN,40-285,90,7,3,4,57.1,Western Sydney Wanderers,Melbourne City,24/03/2017,Melbourne City
Vedran Janjetović,Vedran Janjetovic,AUS,29-216,90,3,1,3,66.7,Western Sydney Wanderers,Melbourne City,24/03/2017,Western Sydney Wanderers
Lawrence Thomas,Lawrence Thomas,AUS,24-320,90,4,1,3,75,Brisbane Roar,Melbourne Victory,25/03/2017,Melbourne Victory
Jamie Young,Jamie Young,ENG,31-212,90,2,0,2,100,Brisbane Roar,Melbourne Victory,25/03/2017,Brisbane Roar
Eugene Galekovic,Eugene Galekovic,AUS,35-286,90,5,2,4,80,Central Coast Mariners,Adelaide United,25/03/2017,Adelaide United
Ivan Necevski,Ivan Necevski,AUS,37-028,90,9,3,6,66.7,Central Coast Mariners,Adelaide United,25/03/2017,Central Coast Mariners
Andrew Redmayne,Andrew Redmayne,AUS,28-072,90,2,0,2,100,Perth Glory,Sydney FC,26/03/2017,Sydney FC
Liam Reddy,Liam Reddy,AUS,35-230,90,6,3,3,50,Perth Glory,Sydney FC,26/03/2017,Perth Glory
Jack Duncan,Jack Duncan,AUS,23-341,90,7,5,2,28.6,Wellington Phoenix,Newcastle Jets,26/03/2017,Newcastle Jets
Lewis Italiano,Lewis Italiano,AUS,26-106,90,5,0,5,100,Wellington Phoenix,Newcastle Jets,26/03/2017,Wellington Phoenix
Liam Reddy,Liam Reddy,AUS,35-235,90,6,1,5,83.3,Adelaide United,Perth Glory,31/03/2017,Perth Glory
Eugene Galekovic,Eugene Galekovic,AUS,35-292,90,4,1,4,100,Adelaide United,Perth Glory,31/03/2017,Adelaide United
Vedran Janjetović,Vedran Janjetovic,AUS,29-224,90,3,0,3,100,Newcastle Jets,Western Sydney Wanderers,1/04/2017,Western Sydney Wanderers
Jack Duncan,Jack Duncan,AUS,23-347,90,6,3,3,50,Newcastle Jets,Western Sydney Wanderers,1/04/2017,Newcastle Jets
Dean Bouzanis,Dean Bouzanis,AUS,26-181,90,4,3,1,25,Sydney FC,Melbourne City,1/04/2017,Melbourne City
Danny Vukovic,Danny Vukovic,AUS,32-005,90,2,0,2,100,Sydney FC,Melbourne City,1/04/2017,Sydney FC
Ivan Necevski,Ivan Necevski,AUS,37-036,90,10,5,5,50,Brisbane Roar,Central Coast Mariners,2/04/2017,Central Coast Mariners
Jamie Young,Jamie Young,ENG,31-220,90,4,1,3,75,Brisbane Roar,Central Coast Mariners,2/04/2017,Brisbane Roar
Lewis Italiano,Lewis Italiano,AUS,26-113,90,2,0,2,100,Melbourne Victory,Wellington Phoenix,2/04/2017,Wellington Phoenix
Lawrence Thomas,Lawrence Thomas,AUS,24-328,90,7,3,4,57.1,Melbourne Victory,Wellington Phoenix,2/04/2017,Melbourne Victory
Eugene Galekovic,Eugene Galekovic,AUS,35-299,90,9,1,8,88.9,Melbourne City,Adelaide United,7/04/2017,Adelaide United
Dean Bouzanis,Dean Bouzanis,AUS,26-187,90,1,0,1,100,Melbourne City,Adelaide United,7/04/2017,Melbourne City
Jamie Young,Jamie Young,ENG,31-226,90,6,3,3,50,Perth Glory,Brisbane Roar,8/04/2017,Brisbane Roar
Liam Reddy,Liam Reddy,AUS,35-243,90,5,1,4,80,Perth Glory,Brisbane Roar,8/04/2017,Perth Glory
Danny Vukovic,Danny Vukovic,AUS,32-012,90,6,1,5,83.3,Wellington Phoenix,Sydney FC,8/04/2017,Sydney FC
Lewis Italiano,Lewis Italiano,AUS,26-119,90,4,1,4,100,Wellington Phoenix,Sydney FC,8/04/2017,Wellington Phoenix
Lawrence Thomas,Lawrence Thomas,AUS,24-334,90,2,0,2,100,Western Sydney Wanderers,Melbourne Victory,8/04/2017,Melbourne Victory
Vedran Janjetović,Vedran Janjetovic,AUS,29-231,90,1,0,1,100,Western Sydney Wanderers,Melbourne Victory,8/04/2017,Western Sydney Wanderers
Jack Duncan,Jack Duncan,AUS,23-355,90,6,2,4,66.7,Central Coast Mariners,Newcastle Jets,9/04/2017,Newcastle Jets
Paul Izzo,Paul Izzo,AUS,22-093,90,2,0,2,100,Central Coast Mariners,Newcastle Jets,9/04/2017,Central Coast Mariners
Paul Izzo,Paul Izzo,AUS,22-098,90,5,1,4,80,Melbourne Victory,Central Coast Mariners,14/04/2017,Central Coast Mariners
Lawrence Thomas,Lawrence Thomas,AUS,24-340,90,4,0,4,100,Melbourne Victory,Central Coast Mariners,14/04/2017,Melbourne Victory
Vedran Janjetović,Vedran Janjetovic,AUS,29-238,90,4,2,3,75,Adelaide United,Western Sydney Wanderers,15/04/2017,Western Sydney Wanderers
Eugene Galekovic,Eugene Galekovic,AUS,35-307,90,2,2,1,50,Adelaide United,Western Sydney Wanderers,15/04/2017,Adelaide United
Jack Duncan,Jack Duncan,AUS,23-361,90,3,2,1,33.3,Sydney FC,Newcastle Jets,15/04/2017,Newcastle Jets
Danny Vukovic,Danny Vukovic,AUS,32-019,90,2,0,2,100,Sydney FC,Newcastle Jets,15/04/2017,Sydney FC
Lewis Italiano,Lewis Italiano,AUS,26-127,90,9,4,5,55.6,Brisbane Roar,Wellington Phoenix,16/04/2017,Wellington Phoenix
Michael Theo,Michael Theo,AUS,36-064,90,7,3,4,57.1,Brisbane Roar,Wellington Phoenix,16/04/2017,Brisbane Roar
Dean Bouzanis,Dean Bouzanis,AUS,26-196,90,7,5,3,42.9,Perth Glory,Melbourne City,16/04/2017,Melbourne City
Liam Reddy,Liam Reddy,AUS,35-251,90,7,4,3,42.9,Perth Glory,Melbourne City,16/04/2017,Perth Glory
Vedran Janjetović,Vedran Janjetovic,AUS,29-244,120,9,1,8,88.9,Brisbane Roar,Western Sydney Wanderers,21/04/2017,Western Sydney Wanderers
Michael Theo,Michael Theo,AUS,36-069,99,4,1,4,100,Brisbane Roar,Western Sydney Wanderers,21/04/2017,Brisbane Roar
Jamie Young,Jamie Young,ENG,31-239,21,1,0,1,100,Brisbane Roar,Western Sydney Wanderers,21/04/2017,Brisbane Roar
Liam Reddy,Liam Reddy,AUS,35-258,90,2,0,2,100,Melbourne City,Perth Glory,23/04/2017,Perth Glory
Dean Bouzanis,Dean Bouzanis,AUS,26-203,90,6,2,4,66.7,Melbourne City,Perth Glory,23/04/2017,Melbourne City
Liam Reddy,Liam Reddy,AUS,35-264,90,8,3,5,62.5,Sydney FC,Perth Glory,29/04/2017,Perth Glory
Danny Vukovic,Danny Vukovic,AUS,32-033,90,0,0,0,,Sydney FC,Perth Glory,29/04/2017,Sydney FC
Jamie Young,Jamie Young,ENG,31-248,90,5,1,4,80,Melbourne Victory,Brisbane Roar,30/04/2017,Brisbane Roar
Lawrence Thomas,Lawrence Thomas,AUS,24-356,90,2,0,2,100,Melbourne Victory,Brisbane Roar,30/04/2017,Melbourne Victory
Lawrence Thomas,Lawrence Thomas,AUS,24-363,120,4,1,3,75,Sydney FC,Melbourne Victory,7/05/2017,Melbourne Victory
Danny Vukovic,Danny Vukovic,AUS,32-041,120,2,1,1,50,Sydney FC,Melbourne Victory,7/05/2017,Sydney FC
Michael Theo,Michael Theo,AUS,36-237,90,2,2,0,0,Melbourne City,Brisbane Roar,6/10/2017,Brisbane Roar
Eugene Galekovic,Eugene Galekovic,AUS,36-116,90,1,0,1,100,Melbourne City,Brisbane Roar,6/10/2017,Melbourne City
Jack Duncan,Jack Duncan,AUS,24-171,90,5,1,4,80,Central Coast Mariners,Newcastle Jets,7/10/2017,Newcastle Jets
Tom Glover,Tom Glover,AUS,19-287,90,6,5,2,33.3,Central Coast Mariners,Newcastle Jets,7/10/2017,Central Coast Mariners
Andrew Redmayne,Andrew Redmayne,AUS,28-267,90,0,0,0,,Melbourne Victory,Sydney FC,7/10/2017,Sydney FC
Lawrence Thomas,Lawrence Thomas,AUS,25-151,90,3,1,2,66.7,Melbourne Victory,Sydney FC,7/10/2017,Melbourne Victory
Paul Izzo,Paul Izzo,AUS,22-275,90,3,1,2,66.7,Wellington Phoenix,Adelaide United,8/10/2017,Adelaide United
Keegan Smith,Keegan Smith,NZL,18-148,90,4,1,3,75,Wellington Phoenix,Adelaide United,8/10/2017,Wellington Phoenix
Liam Reddy,Liam Reddy,AUS,36-061,90,7,2,5,71.4,Western Sydney Wanderers,Perth Glory,8/10/2017,Perth Glory
Vedran Janjetović,Vedran Janjetovic,AUS,30-049,90,7,1,6,85.7,Western Sydney Wanderers,Perth Glory,8/10/2017,Western Sydney Wanderers
Paul Izzo,Paul Izzo,AUS,22-280,90,6,1,5,83.3,Brisbane Roar,Adelaide United,13/10/2017,Adelaide United
Michael Theo,Michael Theo,AUS,36-244,90,5,2,3,60,Brisbane Roar,Adelaide United,13/10/2017,Brisbane Roar
Eugene Galekovic,Eugene Galekovic,AUS,36-124,90,2,1,1,50,Melbourne Victory,Melbourne City,14/10/2017,Melbourne City
Lawrence Thomas,Lawrence Thomas,AUS,25-158,90,6,2,4,66.7,Melbourne Victory,Melbourne City,14/10/2017,Melbourne Victory
Tom Glover,Tom Glover,AUS,19-294,90,2,2,1,50,Western Sydney Wanderers,Central Coast Mariners,14/10/2017,Central Coast Mariners
Vedran Janjetović,Vedran Janjetovic,AUS,30-055,90,7,2,5,71.4,Western Sydney Wanderers,Central Coast Mariners,14/10/2017,Western Sydney Wanderers
Liam Reddy,Liam Reddy,AUS,36-068,90,4,2,2,50,Newcastle Jets,Perth Glory,15/10/2017,Perth Glory
Jack Duncan,Jack Duncan,AUS,24-179,90,4,2,2,50,Newcastle Jets,Perth Glory,15/10/2017,Newcastle Jets
Keegan Smith,Keegan Smith,NZL,18-155,90,5,3,2,40,Sydney FC,Wellington Phoenix,15/10/2017,Wellington Phoenix
Andrew Redmayne,Andrew Redmayne,AUS,28-275,90,5,2,3,60,Sydney FC,Wellington Phoenix,15/10/2017,Sydney FC
Lawrence Thomas,Lawrence Thomas,AUS,25-164,90,2,2,0,0,Adelaide United,Melbourne Victory,20/10/2017,Melbourne Victory
Paul Izzo,Paul Izzo,AUS,22-287,90,6,2,4,66.7,Adelaide United,Melbourne Victory,20/10/2017,Adelaide United
Keegan Smith,Keegan Smith,NZL,18-161,90,3,1,2,66.7,Melbourne City,Wellington Phoenix,21/10/2017,Wellington Phoenix
Eugene Galekovic,Eugene Galekovic,AUS,36-131,90,2,0,2,100,Melbourne City,Wellington Phoenix,21/10/2017,Melbourne City
Vedran Janjetović,Vedran Janjetovic,AUS,30-062,90,4,2,3,75,Sydney FC,Western Sydney Wanderers,21/10/2017,Western Sydney Wanderers
Andrew Redmayne,Andrew Redmayne,AUS,28-281,90,2,2,0,0,Sydney FC,Western Sydney Wanderers,21/10/2017,Sydney FC
Jack Duncan,Jack Duncan,AUS,24-186,90,2,1,1,50,Brisbane Roar,Newcastle Jets,22/10/2017,Newcastle Jets
Michael Theo,Michael Theo,AUS,36-253,90,3,2,1,33.3,Brisbane Roar,Newcastle Jets,22/10/2017,Brisbane Roar
Tom Glover,Tom Glover,AUS,19-302,90,3,2,1,33.3,Perth Glory,Central Coast Mariners,22/10/2017,Central Coast Mariners
Liam Reddy,Liam Reddy,AUS,36-075,90,2,1,1,50,Perth Glory,Central Coast Mariners,22/10/2017,Perth Glory
Liam Reddy,Liam Reddy,AUS,36-080,90,7,2,7,100,Sydney FC,Perth Glory,27/10/2017,Perth Glory
Andrew Redmayne,Andrew Redmayne,AUS,28-287,90,4,0,4,100,Sydney FC,Perth Glory,27/10/2017,Sydney FC
Eugene Galekovic,Eugene Galekovic,AUS,36-138,90,1,0,1,100,Adelaide United,Melbourne City,28/10/2017,Melbourne City
Paul Izzo,Paul Izzo,AUS,22-295,90,2,2,1,50,Adelaide United,Melbourne City,28/10/2017,Adelaide United
Michael Theo,Michael Theo,AUS,36-259,90,3,3,0,0,Wellington Phoenix,Brisbane Roar,28/10/2017,Brisbane Roar
Keegan Smith,Keegan Smith,NZL,18-168,90,6,3,4,66.7,Wellington Phoenix,Brisbane Roar,28/10/2017,Wellington Phoenix
Lawrence Thomas,Lawrence Thomas,AUS,25-173,90,5,1,4,80,Central Coast Mariners,Melbourne Victory,29/10/2017,Melbourne Victory
Tom Glover,Tom Glover,AUS,19-309,90,7,1,6,85.7,Central Coast Mariners,Melbourne Victory,29/10/2017,Central Coast Mariners
Vedran Janjetović,Vedran Janjetovic,AUS,30-070,90,6,1,5,83.3,Newcastle Jets,Western Sydney Wanderers,29/10/2017,Western Sydney Wanderers
Jack Duncan,Jack Duncan,AUS,24-193,90,2,1,1,50,Newcastle Jets,Western Sydney Wanderers,29/10/2017,Newcastle Jets
Andrew Redmayne,Andrew Redmayne,AUS,28-294,90,2,0,2,100,Melbourne City,Sydney FC,3/11/2017,Sydney FC
Eugene Galekovic,Eugene Galekovic,AUS,36-144,90,2,1,1,50,Melbourne City,Sydney FC,3/11/2017,Melbourne City
Keegan Smith,Keegan Smith,NZL,18-175,90,9,3,6,66.7,Newcastle Jets,Wellington Phoenix,4/11/2017,Wellington Phoenix
Jack Duncan,Jack Duncan,AUS,24-199,90,2,0,2,100,Newcastle Jets,Wellington Phoenix,4/11/2017,Newcastle Jets
Paul Izzo,Paul Izzo,AUS,22-302,90,5,1,5,80,Perth Glory,Adelaide United,4/11/2017,Adelaide United
Liam Reddy,Liam Reddy,AUS,36-088,90,1,0,1,100,Perth Glory,Adelaide United,4/11/2017,Perth Glory
Ben Kennedy,Ben Kennedy,AUS,30-264,90,4,0,4,100,Brisbane Roar,Central Coast Mariners,5/11/2017,Central Coast Mariners
Jamie Young,Jamie Young,ENG,32-072,90,4,0,4,100,Brisbane Roar,Central Coast Mariners,5/11/2017,Brisbane Roar
Vedran Janjetović,Vedran Janjetovic,AUS,30-078,90,2,1,1,50,Melbourne Victory,Western Sydney Wanderers,6/11/2017,Western Sydney Wanderers
Lawrence Thomas,Lawrence Thomas,AUS,25-181,90,1,1,1,0,Melbourne Victory,Western Sydney Wanderers,6/11/2017,Melbourne Victory
Andrew Redmayne,Andrew Redmayne,AUS,28-301,90,3,2,1,33.3,Central Coast Mariners,Sydney FC,10/11/2017,Sydney FC
Ben Kennedy,Ben Kennedy,AUS,30-269,90,1,0,1,100,Central Coast Mariners,Sydney FC,10/11/2017,Central Coast Mariners
Jack Duncan,Jack Duncan,AUS,24-206,90,3,1,2,66.7,Adelaide United,Newcastle Jets,11/11/2017,Newcastle Jets
Paul Izzo,Paul Izzo,AUS,22-309,90,7,2,5,71.4,Adelaide United,Newcastle Jets,11/11/2017,Adelaide United
Jamie Young,Jamie Young,ENG,32-078,90,5,1,4,80,Melbourne Victory,Brisbane Roar,11/11/2017,Brisbane Roar
Lawrence Thomas,Lawrence Thomas,AUS,25-186,90,3,1,2,66.7,Melbourne Victory,Brisbane Roar,11/11/2017,Melbourne Victory
Vedran Janjetović,Vedran Janjetovic,AUS,30-084,90,7,1,7,100,Melbourne City,Western Sydney Wanderers,12/11/2017,Western Sydney Wanderers
Eugene Galekovic,Eugene Galekovic,AUS,36-153,90,6,1,5,83.3,Melbourne City,Western Sydney Wanderers,12/11/2017,Melbourne City
Liam Reddy,Liam Reddy,AUS,36-096,90,7,5,3,42.9,Wellington Phoenix,Perth Glory,12/11/2017,Perth Glory
Keegan Smith,Keegan Smith,NZL,18-183,90,5,2,3,60,Wellington Phoenix,Perth Glory,12/11/2017,Wellington Phoenix
Paul Izzo,Paul Izzo,AUS,22-314,90,0,1,0,,Central Coast Mariners,Adelaide United,16/11/2017,Adelaide United
Ben Kennedy,Ben Kennedy,AUS,30-275,90,9,2,7,77.8,Central Coast Mariners,Adelaide United,16/11/2017,Central Coast Mariners
Eugene Galekovic,Eugene Galekovic,AUS,36-158,90,4,3,1,25,Brisbane Roar,Melbourne City,17/11/2017,Melbourne City
Jamie Young,Jamie Young,ENG,32-084,90,6,1,5,83.3,Brisbane Roar,Melbourne City,17/11/2017,Brisbane Roar
Jack Duncan,Jack Duncan,AUS,24-213,90,7,2,5,71.4,Sydney FC,Newcastle Jets,18/11/2017,Newcastle Jets
Andrew Redmayne,Andrew Redmayne,AUS,28-309,90,5,1,4,80,Sydney FC,Newcastle Jets,18/11/2017,Sydney FC
Lawrence Thomas,Lawrence Thomas,AUS,25-194,90,1,0,1,100,Perth Glory,Melbourne Victory,19/11/2017,Melbourne Victory
Liam Reddy,Liam Reddy,AUS,36-103,90,6,2,4,66.7,Perth Glory,Melbourne Victory,19/11/2017,Perth Glory
Lawrence Thomas,Lawrence Thomas,AUS,25-198,90,8,4,4,50,Newcastle Jets,Melbourne Victory,23/11/2017,Melbourne Victory
Glen Moss,Glen Moss,NZL,34-308,90,1,1,0,0,Newcastle Jets,Melbourne Victory,23/11/2017,Newcastle Jets
Liam Reddy,Liam Reddy,AUS,36-108,90,3,1,2,66.7,Melbourne City,Perth Glory,24/11/2017,Perth Glory
Eugene Galekovic,Eugene Galekovic,AUS,36-165,90,3,3,1,33.3,Melbourne City,Perth Glory,24/11/2017,Melbourne City
Jamie Young,Jamie Young,ENG,32-092,90,6,3,4,66.7,Sydney FC,Brisbane Roar,25/11/2017,Brisbane Roar
Andrew Redmayne,Andrew Redmayne,AUS,28-316,90,2,1,1,50,Sydney FC,Brisbane Roar,25/11/2017,Sydney FC
Ben Kennedy,Ben Kennedy,AUS,30-284,90,2,1,1,50,Wellington Phoenix,Central Coast Mariners,25/11/2017,Central Coast Mariners
Lewis Italiano,Lewis Italiano,AUS,26-350,90,9,4,5,55.6,Wellington Phoenix,Central Coast Mariners,25/11/2017,Wellington Phoenix
Vedran Janjetović,Vedran Janjetovic,AUS,30-098,90,6,2,4,66.7,Adelaide United,Western Sydney Wanderers,26/11/2017,Western Sydney Wanderers
Paul Izzo,Paul Izzo,AUS,22-324,90,2,0,2,100,Adelaide United,Western Sydney Wanderers,26/11/2017,Adelaide United
Andrew Redmayne,Andrew Redmayne,AUS,28-322,90,1,0,1,100,Adelaide United,Sydney FC,1/12/2017,Sydney FC
Paul Izzo,Paul Izzo,AUS,22-329,90,4,1,3,75,Adelaide United,Sydney FC,1/12/2017,Adelaide United
Dean Bouzanis,Dean Bouzanis,AUS,27-061,90,8,1,7,87.5,Newcastle Jets,Melbourne City,2/12/2017,Melbourne City
Glen Moss,Glen Moss,NZL,34-317,90,3,2,2,66.7,Newcastle Jets,Melbourne City,2/12/2017,Newcastle Jets
Jamie Young,Jamie Young,ENG,32-099,90,3,0,3,100,Western Sydney Wanderers,Brisbane Roar,2/12/2017,Brisbane Roar
Vedran Janjetović,Vedran Janjetovic,AUS,30-104,90,2,2,0,0,Western Sydney Wanderers,Brisbane Roar,2/12/2017,Western Sydney Wanderers
Liam Reddy,Liam Reddy,AUS,36-117,90,2,1,1,50,Central Coast Mariners,Perth Glory,3/12/2017,Perth Glory
Ben Kennedy,Ben Kennedy,AUS,30-292,90,1,0,1,100,Central Coast Mariners,Perth Glory,3/12/2017,Central Coast Mariners
Lawrence Thomas,Lawrence Thomas,AUS,25-208,90,4,2,2,50,Wellington Phoenix,Melbourne Victory,3/12/2017,Melbourne Victory
Lewis Italiano,Lewis Italiano,AUS,26-358,90,8,3,5,62.5,Wellington Phoenix,Melbourne Victory,3/12/2017,Wellington Phoenix
Paul Izzo,Paul Izzo,AUS,22-336,90,5,1,5,80,Melbourne Victory,Adelaide United,8/12/2017,Adelaide United
Lawrence Thomas,Lawrence Thomas,AUS,25-213,90,7,2,5,71.4,Melbourne Victory,Adelaide United,8/12/2017,Melbourne Victory
Lewis Italiano,Lewis Italiano,AUS,26-364,90,1,0,1,100,Brisbane Roar,Wellington Phoenix,9/12/2017,Wellington Phoenix
Jamie Young,Jamie Young,ENG,32-106,90,5,0,5,100,Brisbane Roar,Wellington Phoenix,9/12/2017,Brisbane Roar
Glen Moss,Glen Moss,NZL,34-324,90,2,1,1,50,Perth Glory,Newcastle Jets,9/12/2017,Newcastle Jets
Liam Reddy,Liam Reddy,AUS,36-123,90,2,2,0,0,Perth Glory,Newcastle Jets,9/12/2017,Perth Glory
Andrew Redmayne,Andrew Redmayne,AUS,28-330,90,4,0,4,100,Western Sydney Wanderers,Sydney FC,9/12/2017,Sydney FC
Vedran Janjetović,Vedran Janjetovic,AUS,30-111,90,12,5,7,58.3,Western Sydney Wanderers,Sydney FC,9/12/2017,Western Sydney Wanderers
Ben Kennedy,Ben Kennedy,AUS,30-299,90,6,1,5,83.3,Melbourne City,Central Coast Mariners,10/12/2017,Central Coast Mariners
Dean Bouzanis,Dean Bouzanis,AUS,27-069,90,2,0,2,100,Melbourne City,Central Coast Mariners,10/12/2017,Melbourne City
Dean Bouzanis,Dean Bouzanis,AUS,27-074,90,4,3,2,50,Sydney FC,Melbourne City,15/12/2017,Melbourne City
Andrew Redmayne,Andrew Redmayne,AUS,28-336,90,3,1,2,66.7,Sydney FC,Melbourne City,15/12/2017,Sydney FC
Vedran Janjetović,Vedran Janjetovic,AUS,30-118,90,3,0,3,100,Central Coast Mariners,Western Sydney Wanderers,16/12/2017,Western Sydney Wanderers
Ben Kennedy,Ben Kennedy,AUS,30-305,90,2,2,0,0,Central Coast Mariners,Western Sydney Wanderers,16/12/2017,Central Coast Mariners
Paul Izzo,Paul Izzo,AUS,22-344,90,2,2,1,50,Newcastle Jets,Adelaide United,16/12/2017,Adelaide United
Glen Moss,Glen Moss,NZL,34-331,90,4,1,3,75,Newcastle Jets,Adelaide United,16/12/2017,Newcastle Jets
Lewis Italiano,Lewis Italiano,AUS,27-006,90,1,1,0,0,Perth Glory,Wellington Phoenix,16/12/2017,Wellington Phoenix
Liam Reddy,Liam Reddy,AUS,36-130,90,1,0,1,100,Perth Glory,Wellington Phoenix,16/12/2017,Perth Glory
Lawrence Thomas,Lawrence Thomas,AUS,25-222,90,2,1,1,50,Brisbane Roar,Melbourne Victory,17/12/2017,Melbourne Victory
Jamie Young,Jamie Young,ENG,32-114,90,6,2,4,66.7,Brisbane Roar,Melbourne Victory,17/12/2017,Brisbane Roar
Liam Reddy,Liam Reddy,AUS,36-135,69,5,1,4,80,Brisbane Roar,Perth Glory,21/12/2017,Perth Glory
Nick Feely,Nick Feely,AUS,25-226,21,2,0,2,100,Brisbane Roar,Perth Glory,21/12/2017,Perth Glory
Jamie Young,Jamie Young,ENG,32-118,90,4,2,2,50,Brisbane Roar,Perth Glory,21/12/2017,Brisbane Roar
